[01:17:32] [MainThread/INFO]	: |Recreated settings| 
[01:20:37] [MainThread/INFO]	: |Recreated settings| 
[01:23:01] [MainThread/INFO]	: |Recreated settings| 
[01:24:27] [MainThread/INFO]	: |Recreated settings| 
[01:29:06] [MainThread/INFO]	: |Preloading global variables| 
[01:29:06] [MainThread/INFO]	: |Recreated settings| 
[01:29:47] [MainThread/INFO]	: |Preloading global variables| 
[01:29:48] [MainThread/ERROR]	: |Instance crahed| (<class 'json.decoder.JSONDecodeError'>, JSONDecodeError('Expecting property name enclosed in double quotes: line 1 column 2 (char 1)'), <traceback object at 0x000000019C4F6900>)
[01:30:16] [MainThread/INFO]	: |Preloading global variables| 
[01:30:16] [MainThread/INFO]	: |Recreated settings| 
[01:30:16] [MainThread/ERROR]	: |Instance crahed| (<class 'json.decoder.JSONDecodeError'>, JSONDecodeError('Expecting property name enclosed in double quotes: line 1 column 2 (char 1)'), <traceback object at 0x00000097BAF47E80>)
[01:32:57] [MainThread/INFO]	: |Preloading global variables| 
[01:32:57] [MainThread/INFO]	: |Recreated settings| 
[01:32:57] [MainThread/ERROR]	: |Instance crahed| (<class 'json.decoder.JSONDecodeError'>, JSONDecodeError('Expecting property name enclosed in double quotes: line 1 column 2 (char 1)'), <traceback object at 0x000000B109CD4AC0>)
[01:34:47] [MainThread/INFO]	: |Preloading global variables| 
[01:34:47] [MainThread/ERROR]	: |Instance crahed| (<class 'json.decoder.JSONDecodeError'>, JSONDecodeError('Expecting property name enclosed in double quotes: line 1 column 2 (char 1)'), <traceback object at 0x000000DDCCDB5F00>)
[01:36:35] [MainThread/INFO]	: |Preloading global variables| 
[01:36:35] [MainThread/INFO]	: |Recreated settings| 
[01:36:35] [MainThread/ERROR]	: |Instance crahed| (<class 'json.decoder.JSONDecodeError'>, JSONDecodeError('Expecting property name enclosed in double quotes: line 1 column 2 (char 1)'), <traceback object at 0x0000003CE9AF5EC0>)
[01:36:49] [MainThread/INFO]	: |Preloading global variables| 
[01:36:49] [MainThread/ERROR]	: |Instance crahed| (<class 'json.decoder.JSONDecodeError'>, JSONDecodeError('Expecting property name enclosed in double quotes: line 1 column 2 (char 1)'), <traceback object at 0x0000009D454B5F40>)
[01:37:24] [MainThread/INFO]	: |Preloading global variables| 
[01:37:24] [MainThread/INFO]	: |Recreated settings| 
[01:37:24] [MainThread/ERROR]	: |Instance crahed| (<class 'TypeError'>, TypeError('the JSON object must be str, bytes or bytearray, not list'), <traceback object at 0x000000AE19CA6280>)
[01:37:54] [MainThread/INFO]	: |Preloading global variables| 
[01:37:54] [MainThread/INFO]	: |Recreated settings| 
[01:37:54] [MainThread/ERROR]	: |Instance crahed| (<class 'UnboundLocalError'>, UnboundLocalError("local variable 'settings' referenced before assignment"), <traceback object at 0x00000084C257EC00>)
[01:38:10] [MainThread/INFO]	: |Preloading global variables| 
[01:38:10] [MainThread/ERROR]	: |Instance crahed| (<class 'UnboundLocalError'>, UnboundLocalError("local variable 'settings' referenced before assignment"), <traceback object at 0x0000009D88F06EC0>)
[01:39:04] [MainThread/INFO]	: |Preloading global variables| 
[01:39:04] [MainThread/INFO]	: |Recreated settings| 
[01:39:04] [MainThread/ERROR]	: |Instance crahed| (<class 'TypeError'>, TypeError('string indices must be integers'), <traceback object at 0x0000004ED1AF6280>)
[01:39:20] [MainThread/INFO]	: |Preloading global variables| 
[01:39:20] [MainThread/ERROR]	: |Instance crahed| (<class 'UnboundLocalError'>, UnboundLocalError("local variable 'settings' referenced before assignment"), <traceback object at 0x000000E7E2362B00>)
[01:39:33] [MainThread/INFO]	: |Preloading global variables| 
[01:39:33] [MainThread/INFO]	: |Recreated settings| 
[01:39:33] [MainThread/ERROR]	: |Instance crahed| (<class 'TypeError'>, TypeError('string indices must be integers'), <traceback object at 0x000000F9A52B2A40>)
